"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.1831197711668775,42.227890871512976
3,1902,6.168906167533785,58.04586023797986
4,1903,13.374573266299638,72.0990578192073
5,1904,33.152468484188134,64.82245084052235
6,1905,48.807643614180236,34.674221008445066
7,1906,38.9570284876837,17.605115918638667
8,1907,24.294476442213895,12.59437977081065
9,1908,14.314744584152947,12.268043169274408
10,1909,8.641665160770115,14.452003464036633
11,1910,5.652154294785544,18.89379746355228
12,1911,4.250232889005013,26.03738466369068
13,1912,3.9585541688788672,36.62760073225461
14,1913,5.002455030277419,51.1249929309202
15,1914,9.279237547227876,67.30311010011226
16,1915,23.223850015991598,72.06592154136104
17,1916,45.55195928276882,47.20418181572283
18,1917,44.92800686981921,22.6152586951904
19,1918,30.007330961794274,13.85953028338153
20,1919,17.867612552603603,12.042580506545814
21,1920,10.600426510502842,13.272335016596257
