"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,3.9583562573294784,44.948364848105726
3,1902,6.141288005575102,65.8597269863305
4,1903,16.286746840222595,84.76001169802232
5,1904,47.31324399552938,65.99205702464742
6,1905,56.536122976411086,26.99963936677328
7,1906,35.71322217637174,14.064706665576736
8,1907,19.21131308134051,11.963977065494603
9,1908,10.360460981415883,13.85027594590882
10,1909,6.079849806940111,18.752440503220722
11,1910,4.21130367592075,27.31352565480919
12,1911,3.8325572365218474,40.872735264948886
13,1912,5.27721072048301,60.51830105253063
14,1913,12.421599968961473,81.87229138473249
15,1914,38.851191759221955,75.43830495286628
16,1915,58.988998726720766,33.645228285430235
17,1916,40.787177122994976,15.62339284356359
18,1917,22.30882920757445,12.000899843385056
19,1918,11.924175869436057,13.136776252324106
20,1919,6.813424427374772,17.307230844386588
21,1920,4.500650005904223,24.903874562382956
