"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.811111097139234,43.66577430383521
3,1902,8.5334724719272,60.36704412482156
4,1903,21.65200479384276,68.69779621333498
5,1904,46.939474694435525,46.177089463626125
6,1905,49.950172501237816,20.12757789231011
7,1906,34.705507748514584,10.918588954251149
8,1907,21.242333377625545,8.735940703232327
9,1908,12.78300414920477,9.252284549700539
10,1909,7.974330083977821,11.580282176760385
11,1910,5.401173395954506,15.89757277614288
12,1911,4.207026151204949,22.878598516244924
13,1912,4.076237042537339,33.48824353113111
14,1913,5.435393764031396,48.35696687454873
15,1914,10.867718994817453,64.64727371352865
16,1915,28.563638467778922,65.65074262389113
17,1916,51.31684532960648,36.8350535204352
18,1917,46.11884469722089,16.205114566350588
19,1918,30.310939314710428,9.87129831298069
20,1919,18.330583352293566,8.67922453373905
21,1920,11.09418307979863,9.741832986349262
