"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.781827493305557,41.29751369226484
3,1902,7.827413850667575,54.44459684644063
4,1903,17.146573570291096,62.31117418295324
5,1904,36.27962450191902,49.625984547945635
6,1905,45.57069028079574,26.120659884080553
7,1906,36.14841867480223,14.150016582010071
8,1907,23.8400576083475,10.311697860862777
9,1908,14.97029424044268,9.815881357032746
10,1909,9.512934416535419,11.14628244717819
11,1910,6.376220231725454,14.056756081232011
12,1911,4.702631336127002,18.79611806469636
13,1912,4.020427290176071,25.86666402578049
14,1913,4.255859645453237,35.80779189255515
15,1914,6.004289972859095,48.47650272301929
16,1915,11.71240407720286,60.31860860476884
17,1916,26.91308633037506,58.48588818368331
18,1917,44.29258659585985,35.9509125107568
19,1918,41.64055766030378,18.120478462735292
20,1919,29.12968964729129,11.457891387571255
21,1920,18.515403875971124,9.768826585468139
