"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.708839725088892,44.98320758870917
3,1902,8.517327037782257,64.24280901271759
4,1903,23.460285699556337,74.7624363837846
5,1904,53.95206112725328,47.4870651756272
6,1905,54.824246044112265,18.881230497305182
7,1906,36.13609275585465,10.132520286086296
8,1907,21.282658489700694,8.388337079032015
9,1908,12.447368357061741,9.286381166067407
10,1909,7.623175249626078,12.127525922800146
11,1910,5.145713436750518,17.29383856293677
12,1911,4.097800703641948,25.732458318153295
13,1912,4.239213937282651,38.7327167604904
14,1913,6.446820626250304,56.850656009380714
15,1914,15.574235225389671,73.86008823543273
16,1915,43.0780950911629,61.78219376146195
17,1916,59.02798316382402,26.55708495972229
18,1917,43.2290468031425,12.100660700919304
19,1918,26.06697416154852,8.630125658120193
20,1919,15.174756637527102,8.719018682980943
21,1920,9.083787783124636,10.825443325647704
