"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.168938740401295,42.6528774206268
3,1902,6.290518787153732,59.13631683147488
4,1903,14.334834539054308,73.26032802511547
5,1904,36.240234105223465,62.86006482622617
6,1905,49.5943741421799,31.56827193080342
7,1906,36.84468319526558,16.3679986420507
8,1907,22.016398706320466,12.430982815329386
9,1908,12.666686128836774,12.790008514109807
10,1909,7.601932155357632,15.694808789566249
11,1910,5.06254045222253,21.119326161052026
12,1911,4.013709029480843,29.682458503857443
13,1912,4.143244709205404,42.20618349897074
14,1913,6.173811211315654,58.60918851159934
15,1914,13.916433166035965,73.0432040826078
16,1915,35.448220681003136,63.71469460596917
17,1916,49.68435389364752,32.33402867684225
18,1917,37.349551309917175,16.60630015889069
19,1918,22.38690634501615,12.470292485682164
20,1919,12.876765396681124,12.73902525951867
21,1920,7.71111681089118,15.571723719382387
