"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,5.154818583038911,48.43755942156182
3,1902,11.57625966330832,72.1998059711826
4,1903,39.9443083212383,73.13326553506893
5,1904,71.35515672531304,29.186323266089154
6,1905,53.6308908092938,10.323011411098216
7,1906,31.535758874585547,6.460264375375317
8,1907,17.782136853408186,6.356126042913959
9,1908,10.251480584471773,8.127672838917043
10,1909,6.339339841443831,11.954498775686478
11,1910,4.48318879818302,18.867270697951213
12,1911,4.007503282921578,30.649222744292242
13,1912,5.273201656232368,49.41963343335296
14,1913,12.161093991872175,73.12385291125852
15,1914,41.95176256251526,71.72556364805394
16,1915,71.33722389519289,27.67803290753722
17,1916,52.53159601672387,9.989365902936713
18,1917,30.76088337940807,6.404930900069698
19,1918,17.344122841820845,6.397053208532008
20,1919,10.01926000267641,8.24746040214173
21,1920,6.222720623117885,12.182491300389094
