"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.900844590667054,46.166514790378514
3,1902,9.570931018666228,66.87606034873282
4,1903,28.500597001012995,74.535075673786
5,1904,60.42623487497991,40.249377511941
6,1905,54.5735106976551,14.981546114287545
7,1906,34.55682964236643,8.377938744979438
8,1907,20.17004715860697,7.308106990648146
9,1908,11.811961617991876,8.456734538506664
10,1909,7.278952458072692,11.466217466340721
11,1910,4.970652513806538,16.906295681393686
12,1911,4.047762898267986,25.937537442022236
13,1912,4.378236685345481,40.11711021839783
14,1913,7.233086500237115,59.94030181414723
15,1914,19.467691799634295,76.02169947813829
16,1915,52.21827882268798,54.156446304238735
17,1916,60.19392435565807,20.29081192093198
18,1917,40.87162407413479,9.604124777327035
19,1918,24.17690985532034,7.354022289113753
20,1919,14.061055316537503,7.877124450702871
21,1920,8.476143288539552,10.238158047727792
