"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.674608151891742,48.19718261223779
3,1902,9.402832000977982,73.21018103047695
4,1903,32.09325553354682,83.20500837089605
5,1904,69.90446428341377,39.23577930882017
6,1905,56.359395734868485,13.470673696646395
7,1906,32.641533529111825,8.064072652046423
8,1907,17.84652701572184,7.814212801725564
9,1908,10.002121723185805,9.959012826634602
10,1909,6.08812628496608,14.616342916086825
11,1910,4.337249018241399,22.959304252828563
12,1911,4.053816398353523,36.972601803704684
13,1912,5.87545571768167,58.62939313800652
14,1913,15.47426846018785,82.64537906801782
15,1914,51.95697171001942,68.02330993896746
16,1915,68.8230028865962,23.528398271734034
17,1916,45.11925215010349,10.00025809823822
18,1917,25.093081082657363,7.599578971294966
19,1918,13.76944459850201,8.480749055658823
20,1919,7.940517187756185,11.635695889368897
21,1920,5.120364860965686,17.708427083156078
