"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,5.21831881952531,43.792217065925584
3,1902,9.962429304395977,59.73523245909736
4,1903,25.71873478302331,64.09293437949745
5,1904,50.766391979377964,38.670342770655935
6,1905,50.70325433502019,16.190401522769694
7,1906,35.6311184109641,8.712334558472765
8,1907,22.575951888687683,6.827302658953144
9,1908,14.054847182122314,7.047155254302131
10,1909,8.952199255252163,8.636410086997689
11,1910,6.037738138592713,11.703706673966094
12,1911,4.49912526395185,16.770515428507693
13,1912,3.93166445658751,24.67738015309439
14,1913,4.3776824596677475,36.395645457132126
15,1914,6.8601679592541505,51.91891106171175
16,1915,15.771569675314106,65.04565689792643
17,1916,39.272505650302676,54.137276688160384
18,1917,54.41418626397191,24.9525103386493
19,1918,43.459953481415305,11.298212678788609
20,1919,28.51183975957211,7.394286523891438
21,1920,17.79262336671103,6.750357975656819
