"",Year,Lynx,Hare
1,1900,4.0,30.0
2,1901,4.921379470259396,45.454223322761116
3,1902,9.50479599330627,64.88823833849831
4,1903,27.465054117172087,72.17462795965184
5,1904,58.158254527757954,40.6541766423453
6,1905,53.80368934203018,15.697210568166003
7,1906,34.4751605234975,8.804182962985712
8,1907,20.221736894019397,7.6033965620254405
9,1908,11.87279985195673,8.675713044923256
10,1909,7.32799879806032,11.58304611169898
11,1910,5.004246720850861,16.80964001398503
12,1911,4.057660739737307,25.385447669776614
13,1912,4.325039625569763,38.68259827875617
14,1913,6.904584952865956,57.159943543420404
15,1914,17.670776101241888,73.11225670298869
16,1915,47.952018373828,56.13551918500747
17,1916,59.627567324200776,22.41537969331585
18,1917,41.89469631865212,10.434385254633947
19,1918,25.045143889909305,7.726812316817391
20,1919,14.602480185169252,8.037352425335017
21,1920,8.788065679403307,10.197773309761619
